,name,class_name
0,z6B2GrcqUvM__U__S0---0176.100-0192.090.wav,Korean
1,tO1xkcNbsB4__U__S103---0473.100-0483.500.wav,Korean
2,fqv7wkunopk__U__S100---1854.210-1866.660.wav,Korean
3,Hfj6C893PMc__U__S0---0382.790-0401.400.wav,Korean
4,T9dfFfeFJlA__U__S0---0275.200-0288.980.wav,Korean
5,L2yWphw9dxM__U__S102---0338.600-0353.740.wav,Korean
6,5-Frn-BPArM__U__S10---0515.660-0530.190.wav,Korean
7,eBW4tHU_Ido__U__S0---0077.490-0088.500.wav,Korean
8,a_QATH_1vTk__U__S114---0146.000-0156.210.wav,Korean
9,4oxS0U4ngik__U__S0---0038.860-0057.240.wav,Korean
10,ZZGMEvwtrpY__U__S146---0944.570-0955.700.wav,Korean
11,8Ioo--nmIAI__U__S0---0549.950-0564.690.wav,Korean
12,8o089BDQsNs__U__S2---0046.710-0060.610.wav,Korean
13,nnYY0HMQWC4__U__S108---0026.010-0039.360.wav,Korean
14,mMCNqc1BmSE__U__S23---0143.400-0157.880.wav,Korean
15,u4vKg881_Qg__U__S314---2351.630-2365.340.wav,Korean
16,zDi7tf3H18I__U__S51---0381.450-0392.180.wav,Korean
17,83fEDoonNvI__U__S1---0400.530-0416.210.wav,Korean
18,zDi7tf3H18I__U__S53---0366.420-0379.630.wav,Korean
19,YgUitHHryjE__U__S38---0051.740-0070.280.wav,Korean
20,O_mt9NUnHXI__U__S105---1372.810-1384.180.wav,Korean
21,Ji-k65eXOmo__U__S153---2720.700-2740.450.wav,Korean
22,nJslyNCJAiU__U__S0---0215.090-0229.420.wav,Korean
23,x8GAjbNvej4__U__S107---1999.200-2017.780.wav,Korean
24,yztRc3XNfyM__U__S175---1278.650-1295.310.wav,Korean
25,SgIvjAa0UX4__U__S0---0068.770-0085.600.wav,Korean
26,KBAjiSewW8o__U__S407---2616.560-2633.970.wav,Korean
27,gXIGTmsrChw__U__S10---0304.750-0319.040.wav,Korean
28,PdlCdZRSl2k__U__S24---0185.150-0199.170.wav,Korean
29,z6kxePE-QSc__U__S10---0654.000-0672.020.wav,Korean
30,wokyJG9Zpi0__U__S44---0416.700-0427.200.wav,Korean
31,oyuK1cvYsQI__U__S1---0050.000-0064.780.wav,Korean
32,53Z_Y4jaZAg__U__S10---1216.080-1226.550.wav,Korean
33,ZZGMEvwtrpY__U__S341---2194.090-2210.330.wav,Korean
34,VbYhBAC6Sn4__U__S133---1032.000-1047.850.wav,Korean
35,J108SM11na0__U__S16---0124.770-0140.140.wav,Korean
36,0L-R5Dc7w1A__U__S105---0984.330-1004.330.wav,Korean
37,eoTVP8ED4IA__U__S253---1363.680-1374.660.wav,Korean
38,ZZGMEvwtrpY__U__S199---1296.900-1309.050.wav,Korean
39,FbHowuEuYk8__U__S19---0013.870-0024.680.wav,Korean
40,DKYtimMpnJI__U__S286---2175.640-2190.100.wav,Korean
41,Bv9C994aJW8__U__S0---0400.030-0415.440.wav,Korean
42,U44UrGj9sqo__U__S113---1272.650-1290.390.wav,Korean
43,xaBoHxxXUDo__U__S22---0394.810-0406.760.wav,Korean
44,_wZvM885iVo__U__S106---1998.620-2012.130.wav,Korean
45,qJAVJtu0l9o__U__S101---1035.200-1051.290.wav,Korean
46,eBW4tHU_Ido__U__S1---0394.620-0404.690.wav,Korean
47,Nyi7CWUb3Rc__U__S103---0188.940-0205.670.wav,Korean
48,O_mt9NUnHXI__U__S361---2313.790-2324.410.wav,Korean
49,kkqz8tOutNs__U__S101---0303.080-0317.550.wav,Korean
50,vq_Uu5HjUKU__U__S10---1210.540-1221.740.wav,Korean
51,enpXwljgrWo__U__S1---0824.860-0837.090.wav,Korean
52,FbHowuEuYk8__U__S105---2280.100-2292.100.wav,Korean
53,fa4-jbeWRZg__U__S117---0307.820-0324.760.wav,Korean
54,2fe-Fo3mf8M__U__S109---2122.070-2140.880.wav,Korean
55,lkjhkyyxrYs__U__S22---0040.520-0051.980.wav,Korean
56,7C3TYtA4L0M__U__S1---0000.000-0011.080.wav,Korean
57,z6kxePE-QSc__U__S10---1688.580-1698.980.wav,Korean
58,C9rExM8XVbc__U__S31---0166.600-0183.940.wav,Korean
59,oGMkO2gDJN8__U__S104---0696.290-0714.660.wav,Korean
60,x8GAjbNvej4__U__S18---0045.840-0060.420.wav,Korean
61,8o089BDQsNs__U__S0---1495.450-1512.070.wav,Korean
62,UiuxkYynPcI__U__S190---0346.260-0356.670.wav,Korean
63,sguypf7vw0E__U__S0---0010.460-0028.740.wav,Korean
64,0L-R5Dc7w1A__U__S100---1559.450-1570.950.wav,Korean
65,YgUitHHryjE__U__S0---0034.090-0051.740.wav,Korean
66,_wZvM885iVo__U__S10---1950.330-1961.990.wav,Korean
67,A-i3oRwlFds__U__S0---0427.920-0439.380.wav,Korean
68,MMaELuPFPx8__U__S0---0094.310-0110.520.wav,Korean
69,W9ztn38CFSk__U__S101---1440.140-1453.400.wav,Korean
70,vq_Uu5HjUKU__U__S110---1182.200-1192.380.wav,Korean
71,oGMkO2gDJN8__U__S109---1052.000-1066.190.wav,Korean
